id,Question,optionA,optionB,optionC,optionD,correct_option,Time,Explanation
1926,How many radio bursts from Dwarf galaxy obtained in Breakthrough Mission Project?,15,13,10,9,A,45,Breakthrough Listen project detected 15 Fast Radio Bursts (FRBs) coming from a dwarf galaxy about 3 million light years away from earth. The new detection was made with help of Green Bank Telescope (GBT) in West Virginia. FRBs are radio signals from somewhere in deep space that last for just milliseconds and a bright pulse of radio emission from distant galaxies.
1927,Who is named as U.S Ambassador to India recently?,Richard Verma,Kathleen Stephens,Albert Peter Burleigh,Kenneth I. Juster,D,45,"Kenneth I. Juster, Deputy Director of the National Economic Council at the White House nominated as the next U.S ambassador to India. He previously served as Under Secretary of Commerce from 2001-2005, Counselor (acting) of the State Department from 1992-1993, and deputy and senior adviser to the Deputy Secretary of State from 1989-1992."
1928,RBI includes __________ bank as India's third most critical financial body.,Karnataka Bank,Axis Bank,HDFC Bank,IDFC Bank,C,45,"RBI has included HDFC in the list of 'too big to fail' lenders, referred to as D-SIB or domestic systemically important bank. India's largest lender SBI and private sector major ICICI Bank were classified as D-SIBs in 2015. With the inclusion of HDFC Bank in the list, there will now be three 'too big to fail' financial entities in the country. SIBs are subjected to higher levels of supervision so as to prevent disruption in financial services in the event of any failure."
1929,This country despatches the First Diesel Consignment to Myanmar recently.,Israel,Japan,India,South Korea,C,45,"The first consignment of 30 MT of High-Speed Diesel sent from India to Myanmar by land route. Numaligarh Refinery Limited (NRL), which has been supplying HSD to Bangladesh, despatched the first diesel consignment through NH 37 across the Moreh Custom Check Point on the Indian side and Tamu Custom Check Point on the Myanmar. It is to enhance hydrocarbon synergy with neighboring countries as well as promoting India's Act East Policy."
1930,Which bank becomes second bank to get in-principle nod to operate as wholly-owned unit?,ABN Amro Bank,DBS Bank,RBS Bank,Citi Bank,B,45,"Singapore-based bank DBS got final approval to operate as a wholly-owned subsidiary (WOS) in India after a delay of two years. DBS is the second foreign lender after SBM (Mauritius) to get an in-principle approval to operate as WOS in India, it has a strong network in the form of Digibank in India with about 1.5 million customers. DBS operates through 12 branches in the country at present with over a million customers. The bank has already drawn up plans of expanding presence in the country in a staggered way which is included in the application submitted."
1931,KV Rama Moorthy has appointed as the MD and CEO of ___________.,Dena Bank,Karnataka Bank,South Indian Bank,Tamilnadu Mercantile Bank,D,45,KV Rama Moorthy took charge as Managing Director and Chief Executive Officer of Tamilnadu Mercantile Bank. His appointment is for a period of three years. He succeeds HS Upendra Kamath.
1932,Which union ministry Launched Two New Contraceptives Antara and Chhaya?,Ministry of Home Affairs,Ministry of Health and Family Affair,Ministry of Finance,Ministry of Defence,B,45,"The Union Ministry of Health and Family Welfare launched two new contraceptives- an injectable contraceptive MPA under the 'Antara' program and a contraceptive pill 'Chhaya' in the public health system to expand the basket of contraceptive choices for couples. It have been launched in 10 states including Delhi, Maharashtra, Uttar Pradesh, Madhya Pradesh, Rajasthan, Karnataka, Haryana, West Bengal, Odisha, and Goa."
1933,Which state got its first state-run medical college recently?,Chhattisgarh,Bihar,Assam,Odisha,D,45,Odisha got a state run medical college after a gap of 54 years with Chief Minister Naveen Patnaik inaugurating Saheed Laxman Nayak Medical College and Hospital (SLNMCH).
1934,Which government makes Child Lock stickers mandatory for cabs?,Delhi,Mumbai,Kolkata,Pune,A,45,The Delhi govt made it mandatory for all the cabs to have at least 4 stickers informing passengers to disable the Child Lock System before the journey starts. The Delhi Commission for Women observed that the possibility of crime against women increases as they cannot open the doors once the lock is activated.
1935,Who won Gold at Commonwealth Youth Weightlifting Championship?,Maiya Maneza,Svetlana Podobedova,Zulfiya Chinshanlo,Konsam Ormila Devi,D,45,"India's Konsam Ormila Devi won a gold medal in 44kg weight category on the opening day of the Commonwealth Youth (boys & girls) weightlifting championships held at Gold Coast, Australia. She lifted 57kg in snatch and 76kg in clean and jerk for an overall effort of 133kg."
1936,Who of the following was appointed as the MD and CEO of Karur Vysya Bank?,Vijay Kumar,Rajesh Kumar,P R Seshadri,KV Rama Moorthy,C,45,"P R Seshadri has assumed charge as the Managing Director and Chief Executive Officer of Karur Vysya Bank. Seshadri succeeds K Venkataraman who has been leading the bank for more than six years. Seshadri, a senior banker with over 25 years of experience, started his banking career with Citibank in early 1992. He worked as a Chief Executive Officer of BFC Bank Limited, London."
1937,How many millions funding Plan for BRICS announced by China?,125,77,39,95,B,45,"China gave 500 million yuan ($76.4 million) for a BRICS economic and technology cooperation plan, and another $4 million for projects at the BRICS countries' New Development Bank stated Chinese President Xi Jinping. The announcement came amid questions over the relevance of BRICS and China's commitment to its New Development Bank (NDB) in light of the Belt and Road initiative and the China-led Asian Infrastructure Investment Bank."
1938,DIPP and this launches social media campaign to promote Geographical Indications.,Cell for IPR Promotion and Management (CIPAM),Indian Institute of Management,National Institutional Ranking Framework (NIRF),Jawaharlal Nehru University (JNU),A,45,"The Cell for IPR Promotions & Management (CIPAM) under the aegis of Department of Industrial Policy and Promotion (DIPP), Ministry of Commerce and Industry launched a social media campaign to promote Indian Geographical Indications (GIs) with #LetsTalkIP an ongoing movement initiated by CIPAM to make more people aware about the importance of Intellectual Property Rights. It is a sign used on products that have a specific geographical origin and possess qualities or a reputation that are due to that origin. The promotion of GIs is in line with the Government's 'Make in India' campaign."
1939,Who became the first Indian player to be picked up by an Australian NBL team?,Vishesh Bhriguvanshi,Yadwinder Singh,Amjyot Singh,Amritpal Singh,D,45,"The captain of the Indian basketball team, Amritpal Singh scripted history by becoming the first Indian-born player to be picked up by an Australian NBL team. He had earlier been a part of the four-member Indian contingent of Amjyot Singh, Yadwinder Singh and Vishesh Bhriguvanshi, who had been a part of the National Basketball League (NBL) Draft Combine in Melbourne, Australia earlier this year."
1940,How many teachers are honoured with National award by the Vice President Venkaiah Naidu?,192,205,219,128,C,45,"Vice President Venkaiah Naidu gave away the National awards for teachers on Teachers day Function. A total of 219 teachers, including 124 Information and Communication Technology (ICT) teachers, were awarded. He also launched DIKSHA, a national digital infrastructure for teachers. DIKSHA is a customisable national digital infrastructure that states, Teacher Education Institutions (TEI) and private entities can use for their respective teacher-centric initiatives."
1941,The theme of the 2017 BRICS Summit is ___________.,BRICS: Stronger Partnership for a Brighter Future,"BRICS: Chairmanship is Building Responsive, Inclusive and Collective Solutions",BRICS: Inclusive Growth: Sustainable Solutions,BRICS: Partnership - A Powerful Factor of Global Development,A,45,"The theme of the 2017 BRICS Summit is ""BRICS: Stronger Partnership for a Brighter Future"". Thelogoof the 2017 BRICS Summit resembles both full sails and a rotating earth, painted in 5 colors representing the 5 BRICS countries. The symbolism is two-fold: BRICS countries breaking the waves in the same boat towards a brighter future; and BRICS playing an important role in the global political and economic affairs."
