ID,Question,Option A,Option B,Option C,Option D,Correct Option,Timer,explaination
3294,Best surgery to relieve intractable veigo in a menieres disease patient is?,Surgical Labyinthectomy,Vestibular neurectomy,Endolymphatic sac decompression,Cochleosacculotomy,A,45,"Gold standard treatment for intractable veigo in patient of Menier's disease - Surgical Labyinthectomy Rx of Menier's disease Acute episode: Labyrinthine sedatives Maintenance phase Medical K+sparing diuretics B blockers Antihistamines Surgical Conservative :Decompression of endolymphatic sac ,Vestibular neurectomy. Radical :Surgical Labyinthectomy Intratympanic Gentamycin therapy Silverstein microwick microcatheter Meniett's device"
3295,A G6+0+0 lady with h/o recurrent missed aboions at 14-16 weeks comes to you with a missed aboion at 12 weeks. Which of the following tests is not warranted?,Lupus anticoagulant,VDRL for husband and wife,Anticardiolipin antibody,Fetal karyotype,B,45,"Ans: B. VDRL for husband and wife(Ref Williams 24/e p358-359; Dutta 8/e p343, 7/e p167)VDRL:Simple test.Performed in initial work-up for all multiple aboion cases.All aboions are by 16th week while in syphilis, usually there is a improvement in the duration of pregnancy (Kassowitz Law).Kassowitz law:For untreated syphilis woman with series of pregnancies - Have lesser likelihood of infection of fetus from later pregnancies."
3296,The cyst that moves by protruding the tongue is:,Thyroglossal cyst,Median rhomboid cyst,Ranula,Tracheal cyst,A,45,No explanation given
3297,A woman comes with postdated pregnancy at 42 weeks. The initial evaluation would be:,Induction of labour,Review of previous menstrual history,Cesarean section,USG,B,45,"A pregnancy continuing beyond two weeks of the expected date of delivery (> 42 weeks or >294 days) is called postmaturity or post-term pregnancy. Pregnancy between 41-42 weeks is called prolonged pregnancy.
Most common cause of post term pregnancy is wrong dates so, a careful review of menstrual history is important in all
such cases –
“If the patient is sure about her date with previous history of regular cycles, it is a fairly reliable diagnostic aid in the calculation of the period of gestation. But in cases of mistaken maturity or pregnancy occurring during lactational amenorrhoea or soon following withdrawal of the pill’, confusion arises. In such cases, the previous well documented antenatal records of first visit in first trimester if available, are useful guides.”
Dutta Obs. 6/e, p 319
Once the menstrual history is confirmed, investigations like USG and amniocentesis are done:

To confirm fetal maturity
To detect any evidence of placental insufficiency"
3298,Lingual ridge is most prominent in,Upper Canine,Lower Canine,Upper Central Incisor,Lower central incisor,A,45,No explanation given
3299,Euphemism pudding paste is used for:,Sealants.,Varnish.,GIC.,Alginate.,D,45,No explanation given
3300,In heart patient the worst prognosis during pregnancy is seen in:,Mitral regurgitation,Mitral valve prolapse,Aortic stenosis,Pulmonary stenosis,C,45,"Remember 3 ‘FUNDAS: Highest maternal mortality is associated with Class III of clarkes cl;assification, so any of those diseases are given they will have the worst prognosis. Amongst them also Eisenmengers syndrome has the worst prognosis.
↓
2. Stenotic heart disease have a worse prognosis than regurgitant lesions.
Among stenotic disease-(in alphabetical order)-Aortic stenosiswill have the worst> Mitral stenosis>Pulmonary stenosis.
↓
3. Congenital heart disease and Mitral valve prolapse have the best prognosis
So now this question becomes very easy-Mitarl vave prolapse has the best prognosis, so it is ruled out; Regurgitant lesions have a better prognosis than stenotic lesions so mitral regurgitation is also ruled out. Now we are left with 2 options, aortic stenosis and pulmonary stenosis-as I said go alphabetically, aortic stenosis will have a worse prognosis than pulmonary.
Let’s consider each of the options one by one and see what Williams has to say about each of them.
Option “a” Mitral regurgitation
“M R is well-tolerated during pregnancy probably due to decreased systemic vascular resistance which actually results in less regurgitation. Heart failure only rarely develops during pregnany.”
Williams Obs. 22/e, p 1026, 23/e, p 966
Option “b” Mitral valve prolapse
“Pregnant women with mitral valve prolapse rarely have cardiac complications. In fact pregnancy induced hypervolemia may improve alignment of mitral valve.”
Williams Obs. 22/e, p 1030, 23/e, p 971
Option “c” Aortic stenosis
“Although mild to moderate degree of aortic stenosis is well tolerated but severe degree is life threatening.”
Williams Obs. 22/e, p 1026, 23/e, p 967
Option “d” Pulmonary stenosis
“It is well tolerated during pregnancy and rarely causes any complication.”
Williams Obs. 22/e, p 1027, 23/e, p 968"
3301,Acute Barbiturate poisoning results in:,Renal failure,Liver failure,Respiratory failure,Convulsions,C,45,No explanation given
3302,The direct bonded orthodontic stainless steel brackets derive retention with composite because of:,The mechanical interlock with mesh at the bracket base,The chemical interlock of composite with bracket base,Both mechanical and chemical interlock of composite with the bracket base,Biological interlock between the tooth surface and bracket,A,45,No explanation given
3303,A 26 years old patient c/o foul smelling greyish white discharge diagnosed to be Gardnerella vaginalis infection. Microscopic finding is suggestive of?,Group of bacilli arranged in chain forms,Bacteria found to be engulfed by macrophages,Bacteria adherent to lining vaginal epithelial cells,Bacteria arranged in cluster forms,C,45,"Ans C. Bacteria adherent to lining vaginal epithelial cellsGardnerella vaginalis, facultatively anaerobic gram-variable rod, is one of the organisms responsible for bacterial vaginosis (BV).The vaginal discharge of BV is characteristically described as a thin, gray, homogeneous fluid that is adherent to the vaginal mucosa. A fishy vaginal odour, which is paicularly noticeable following coitusis present.Demonstration of clue cells on a saline smear is the most specific criterion for diagnosing BV.The whiff test may be positive in up to 70% of BV patients.The vaginal discharge of patients with BV is notable for its lack of polymorphonuclear leukocytes (PMNs), typically 1 or less than 1 PMN per vaginal epithelial cell."
3304,Optic atrophy is not seen in:,Retinitis pigmentosa,Methanol poisoning,Central retinal aerial occlusion (CRAO),Polypoidal choroidal vasculopathy,D,45,"Answer- D. Polypoidal choroidal vasculopathyRetinitis pigmentosa, Methanol poisoning and Central retinal aerial occlusion (CRAO) can lead to optic atrophy.Occurs secondary to retinal disease (disease of inner retina or its blood supply)Its ascending type of optic atrophy.Causes:Retinitis pigmentosaCRAOExtensive retino choroiditis"
3305,Which vaccine is effective for Mass vaccination post-disaster?,Cholera,Typhoid,Measles,Scrub typhus,C,45,"Measles vaccine is effective post-disaster. Incubation period - 10-14 days IP of Vaccine Induced Measles(VIM) - 7 days, hence immunity is provided before the natural infection. The highest risk of transmission post-disaster is of diarrhoeal and respiratory diseases, which have an incubation period of a few days. ABSOLUTELY contraindicated in post-disaster phase for mass vaccination Typhoid Cholera Tetanus ."
3306,Dose of radiation for early and locally advanced cancer cervix at point A during brachytherapy?,70-75 Gray and 75- 80 Gray,75-80 Gray and 80-85 Gray,80-85 Gray and 85-90 Gray,85-90 Gray and 90-95 Gray,C,45,Answer- C. 80-85 Gray and 85-90 GrayEarly stage disease (nonbulky Stage I-II): 80-85 GyAdvanced stage disease (bulky or Stage IIIB): 85-90 Gy
3307,An individual with a known psychiatric disorder or on treatment and is not a minor can chose to decide the care taker and the course of treatment according to mental health act. This is called:,Advance directive,Treatment directive,Mental will,Future directive,A,45,MENTAL HEALTH CARE ACT 2017 (1) Mental health establishment (2) Capacity to make mental health care and treatment decisions Patient Should be able to understand information given to him Should be able to know about consequences about the decision Should be able to express their decision any form (3) Advanced directive - legal document in which a patient write what action should be taken when they are not able to make decision about their health (4) Nominated representative (5) Ban on direct ECT (6) Ban on ECT in minors (7) Ban on psychosurgery (8) Decriminalisation of suicide
3308,Sealer penetration into dentinal tubule depends mainly on?,Type of sealer used,Method of obturation,Not Recalled,Not Recalled,B,45,No explanation given
3309,Student t test is:,Parametric test based on average,Non parametric test based on average,Parametric test based on variance,Non parametric test based on variance,A,45,No explanation given
3310,"During maxillary osteotomy, which of the following can be given to prevent bleeding:",Acetoacetic acid,Lactic acid,Heparin,Tranexamic acid,D,45,No explanation given
3311,"What is the term for the radio opaque area found at the
root apex of young permanent teeth involved with a chronic pulpitis?",Apical cyst,Apical condensing osteitis,Chronic apical periodontitis,Stage one apical osteofibroses,B,45,No explanation given
3312,"When force are applied on lateral surface at angle region, compression is generated on:",Superior surface,Lateral surface,Inferior surface,Medial surface,B,45,No explanation given
3313,Child of an Overindulgent mother will be:,"Shy, submissive.","Aggressive, display temper tantrums.",Evasive and dawdling.,Disobedient.,B,45,Maternal attitude and child behaviour
